IDValues,Name,Price,link,ModelNumber,Image
64,Brother HL-3170CDW Wireless Colour Laser Printer (HL3170CDW),$289.96,https://www.staples.ca/en/Brother-HL-3170CDW-Wireless-Colour-Laser-Printer-HL3170CDW-/product_190212_2-CA_1_20001,HL3170CDW,https://www.staples-3p.com/s7/is/image/Staples/m004075309_sc7?$std$
65,"Epson Expression® Home XP-430 Small-in-One® Wireless Inkjet Printer, (C11CE59201)",$49.97,https://www.staples.ca/en/Epson-Expression-Home-XP-430-Small-in-One-Wireless-Inkjet-Printer-C11CE59201-/product_2098110_2-CA_1_20001,C11CE59201,https://www.staples-3p.com/s7/is/image/Staples/m003927198_sc7?$std$
66,Brother MFC-L5900DW All-in-One Wireless Duplex Monochrome Laser Printer (MFCL5900DW),$499.93,https://www.staples.ca/en/Brother-MFC-L5900DW-All-in-One-Wireless-Duplex-Monochrome-Laser-Printer-MFCL5900DW-/product_1868168_2-CA_1_20001,MFC-L5900DW,https://www.staples-3p.com/s7/is/image/Staples/m003935170_sc7?$std$
67,HP PageWide Pro 477dw Multifunction Wireless Duplex Colour Inkjet Printer,$499.99,https://www.staples.ca/en/HP-PageWide-Pro-477dw-Multifunction-Wireless-Duplex-Colour-Inkjet-Printer/product_2093160_2-CA_1_20001,D3Q20A#B1H,https://www.staples-3p.com/s7/is/image/Staples/m003944658_sc7?$std$
68,Brother MFC-L5800DW  All-in-One Wireless Duplex Monochrome Laser Printer (MFCL5800DW),$349.99,https://www.staples.ca/en/Brother-MFC-L5800DW-All-in-One-Wireless-Duplex-Monochrome-Laser-Printer-MFCL5800DW-/product_2123929_2-CA_1_20001,MFC-L5800DW,https://www.staples-3p.com/s7/is/image/Staples/m003935169_sc7?$std$
69,Lexmark MX317dn Mono Multifunction Laser Printer (35SC700),$254.96,https://www.staples.ca/en/Lexmark-MX317dn-Mono-Multifunction-Laser-Printer-35SC700-/product_2716168_2-CA_1_20001,35SC700,https://www.staples-3p.com/s7/is/image/Staples/m006013561_sc7?$std$
70,Canon PIXMA G3200 MegaTank Wireless All-In-One Inkjet Printer (0630C003),$379.74,https://www.staples.ca/en/Canon-PIXMA-G3200-MegaTank-Wireless-All-In-One-Inkjet-Printer-0630C003-/product_2641193_2-CA_1_20001,0630C003,https://www.staples-3p.com/s7/is/image/Staples/m006303193_sc7?$std$
71,Epson WorkForce® WF-100 Portable Printer,$299.96,https://www.staples.ca/en/Epson-WorkForce-WF-100-Portable-Printer/product_1268286_2-CA_1_20001,C11CE05201,https://www.staples-3p.com/s7/is/image/Staples/m002595330_sc7?$std$
72,Xerox WorkCentre (6027/NI) Colour Laser MultiFunction Printer,$499.96,https://www.staples.ca/en/Xerox-WorkCentre-6027-NI-Colour-Laser-MultiFunction-Printer/product_1593983_2-CA_1_20001,6027/NI,https://www.staples-3p.com/s7/is/image/Staples/m002252240_sc7?$std$
73,Brother HL-L8350CDW Wireless Colour Laser Printer with Duplex (HLL8350CDW),$499.99,https://www.staples.ca/en/Brother-HL-L8350CDW-Wireless-Colour-Laser-Printer-with-Duplex-HLL8350CDW-/product_161114_2-CA_1_20001,HL-L8350CDW,https://www.staples-3p.com/s7/is/image/Staples/m004075312_sc7?$std$
74,Epson® WorkForce Pro WF-4630 Wireless All-in-One Colour Inkjet Printer with AirPrint,$139.97,https://www.staples.ca/en/Epson-WorkForce-Pro-WF-4630-Wireless-All-in-One-Colour-Inkjet-Printer-with-AirPrint/product_219350_2-CA_1_20001,C11CD10201,https://www.staples-3p.com/s7/is/image/Staples/s0855846_sc7?$std$
75,Lexmark CX517de Multifunction Colour Laser Printer (28EC500),$549.96,https://www.staples.ca/en/Lexmark-CX517de-Multifunction-Colour-Laser-Printer-28EC500-/product_2716178_2-CA_1_20001,28EC500,https://www.staples-3p.com/s7/is/image/Staples/m006148375_sc7?$std$
76,Epson®  WorkForce WF-7610 Wireless All-in-One Colour Inkjet Printer with AirPrint,$149.83,https://www.staples.ca/en/Epson-WorkForce-WF-7610-Wireless-All-in-One-Colour-Inkjet-Printer-with-AirPrint/product_219313_2-CA_1_20001,C11CC98201,https://www.staples-3p.com/s7/is/image/Staples/s0855851_sc7?$std$
77,Brother HL-L5000D Duplex Monochrome Laser Printer (HLL5000D),$249.00,https://www.staples.ca/en/Brother-HL-L5000D-Duplex-Monochrome-Laser-Printer-HLL5000D-/product_2129327_2-CA_1_20001,HL-L5000D,https://www.staples-3p.com/s7/is/image/Staples/m003935166_sc7?$std$
78,Canon imageCLASS MF632Cdw Wireless Multifunction Colour Laser Printer (1475C011),$499.99,https://www.staples.ca/en/Canon-imageCLASS-MF632Cdw-Wireless-Multifunction-Colour-Laser-Printer-1475C011-/product_2723689_2-CA_1_20001,1475C011,https://www.staples-3p.com/s7/is/image/Staples/m006303197_sc7?$std$
79,Canon PIXMA G1200 MegaTank Inkjet Printer (0629C003),$299.86,https://www.staples.ca/en/Canon-PIXMA-G1200-MegaTank-Inkjet-Printer-0629C003-/product_2723681_2-CA_1_20001,0629C003,https://www.staples-3p.com/s7/is/image/Staples/m006303194_sc7?$std$
80,Canon imageCLASS Wireless Laser Multifunction Printer (D1550),$499.99,https://www.staples.ca/en/Canon-imageCLASS-Wireless-Laser-Multifunction-Printer-D1550-/product_2093932_2-CA_1_20001,0291C009,https://www.staples-3p.com/s7/is/image/Staples/s1010912_sc7?$std$
81,"Canon PIXMA MG3029 Photo Inkjet All-in-One Printer, Black",$49.99,https://www.staples.ca/en/Canon-PIXMA-MG3029-Photo-Inkjet-All-in-One-Printer-Black/product_2508914_2-CA_1_20001,1346C003,https://www.staples-3p.com/s7/is/image/Staples/m005088769_sc7?$std$
82,Canon imageCLASS Wireless Laser Printer (LBP251dw),$399.99,https://www.staples.ca/en/Canon-imageCLASS-Wireless-Laser-Printer-LBP251dw-/product_2275751_2-CA_1_20001,0281C014,https://www.staples-3p.com/s7/is/image/Staples/m005844435_sc7?$std$
83,"Hp Designjet T120 Inkjet Large Format Printer, 24"", Colour","$1,219.99",https://www.staples.ca/en/Hp-Designjet-T120-Inkjet-Large-Format-Printer-24-Colour/product_116843_2-CA_1_20001,CQ891A#B1K,https://www.staples-3p.com/s7/is/image/Staples/m001938916_sc7?$std$
84,Brother MFC-J6535DW Business Smart Pro Wireless Printer with Inkvestment Cartridges (MFCJ6535DW),$329.99,https://www.staples.ca/en/Brother-MFC-J6535DW-Business-Smart-Pro-Wireless-Printer-with-Inkvestment-Cartridges-MFCJ6535DW-/product_2425718_2-CA_1_20001,MFC-J6535DW,https://www.staples-3p.com/s7/is/image/Staples/m005917666_sc7?$std$
85,Brother MFC-L8850CDW Multifunction Laser Printer (MFCL8850CDW),$749.83,https://www.staples.ca/en/Brother-MFC-L8850CDW-Multifunction-Laser-Printer-MFCL8850CDW-/product_241184_2-CA_1_20001,MFC-L8850CDW,https://www.staples-3p.com/s7/is/image/Staples/m004075319_sc7?$std$
86,Samsung Xpress M3015DW Monochrome Wireless Laser Printer (SL-M3015DW/XAA),$199.99,https://www.staples.ca/en/Samsung-Xpress-M3015DW-Monochrome-Wireless-Laser-Printer-SL-M3015DW-XAA-/product_2009069_2-CA_1_20001,SL-M3015DW/XAA,https://www.staples-3p.com/s7/is/image/Staples/s1006189_sc7?$std$
87,Brother MFC-7240 Laser Multifunction Printer (MFC7240),$269.71,https://www.staples.ca/en/Brother-MFC-7240-Laser-Multifunction-Printer-MFC7240-/product_931228_2-CA_1_20001,MFC7240,https://www.staples-3p.com/s7/is/image/Staples/m004077225_sc7?$std$
88,"HP® Designjet T520 24"" Wide-Format Colour ePrinter","$1,699.96",https://www.staples.ca/en/HP-Designjet-T520-24-Wide-Format-Colour-ePrinter/product_275589_2-CA_1_20001,CQ890A#B1K,https://www.staples-3p.com/s7/is/image/Staples/s0590761_sc7?$std$
89,Canon PIXMA PRO-100 Wireless Colour Inkjet Printer,$499.99,https://www.staples.ca/en/Canon-PIXMA-PRO-100-Wireless-Colour-Inkjet-Printer/product_148765_2-CA_1_20001,6228B003,https://www.staples-3p.com/s7/is/image/Staples/s0574251_sc7?$std$
