ID,Name,Price,Link,ModelNumber
55,Ismart IS-100Pro,₹699,https://www.flipkart.com/ismart-is-100pro/p/itmerznchycyrgee?pid=MOBERZGF2GFZAKZD&srno=b_4_8&otracker=browse&lid=LSTMOBERZGF2GFZAKZDD6KS8Q&fm=organic&iid=3b2a54fc-e9f8-4e71-a05d-f447e2c00fc0.MOBERZGF2GFZAKZD.SEARCH,IS-100Pro
56,"Panasonic Eluga Ray X (Champagne Gold, 32 GB)","₹6,999",https://www.flipkart.com/panasonic-eluga-ray-x-champagne-gold-32-gb/p/itmetendhgz8gumc?pid=MOBESDYMGHC37GCS&srno=b_2_12&otracker=browse&lid=LSTMOBESDYMGHC37GCSBML8DV&fm=organic&iid=51fdb3ec-8308-4d0f-93b4-7c382c193813.MOBESDYMGHC37GCS.SEARCH,EB-90S55ERX / EB-90S55ERXN / EB-90S55ERXG
57,"iVooMi Me3S (Midnight Black, 32 GB)","₹5,999",https://www.flipkart.com/ivoomi-me3s-midnight-black-32-gb/p/itmexduzfyqpuypc?pid=MOBEXBZBVHSHZFGW&srno=b_7_6&otracker=browse&lid=LSTMOBEXBZBVHSHZFGWB8A3FE&fm=organic&iid=3467c535-119e-4076-ac32-81701f59d882.MOBEXBZBVHSHZFGW.SEARCH,iV 501
58,"Moto G5 Plus (Fine Gold, 32 GB)","₹12,999",https://www.flipkart.com/moto-g5-plus-fine-gold-32-gb/p/itmes2zjvwfncxxr?pid=MOBEQHMGED7F9CZ2&srno=b_3_8&otracker=browse&lid=LSTMOBEQHMGED7F9CZ2KTTROW&fm=organic&iid=d705a867-60ce-4f1b-8505-36541104f063.MOBEQHMGED7F9CZ2.SEARCH,XT 1686
59,"Panasonic Eluga Ray X (Space Grey, 32 GB)","₹6,999",https://www.flipkart.com/panasonic-eluga-ray-x-space-grey-32-gb/p/itmet968ft3g9ebz?pid=MOBESDYCQD3FJCFW&srno=b_1_10&otracker=browse&lid=LSTMOBESDYCQD3FJCFWFJR1GO&fm=organic&iid=fbf030df-f019-4679-91a2-ace3f8c8d2f0.MOBESDYCQD3FJCFW.SEARCH,EB-90S55ERX / EB-90S55ERXY
60,Ismart IS-100Pro,₹699,https://www.flipkart.com/ismart-is-100pro/p/itmerznchycyrgee?pid=MOBERZGF2GFZAKZD&srno=b_8_6&otracker=browse&lid=LSTMOBERZGF2GFZAKZDD6KS8Q&fm=organic&iid=9b4d2841-91b9-451f-9a65-902657a4d246.MOBERZGF2GFZAKZD.SEARCH,IS-100Pro
61,"Panasonic P85 (Grey, 16 GB)","₹4,999",https://www.flipkart.com/panasonic-p85-grey-16-gb/p/itmetrsr4tjx94b4?pid=MOBETRSG3ZJCYCED&srno=b_6_6&otracker=browse&lid=LSTMOBETRSG3ZJCYCEDEWR8Q7&fm=organic&iid=eae646de-aa00-499f-97b7-0788947a2570.MOBETRSG3ZJCYCED.SEARCH,EB-90S50P85G
62,"VIVO V7+ (Gold, 64 GB)","₹21,990",https://www.flipkart.com/vivo-v7-gold-64-gb/p/itmex3ycdbzjxbnk?pid=MOBEX3YCCYN57ZN6&srno=b_4_9&otracker=browse&lid=LSTMOBEX3YCCYN57ZN6IMGHPJ&fm=organic&iid=de830467-cbc3-4aa6-8264-15452dc948d4.MOBEX3YCCYN57ZN6.SEARCH,1716
63,"Sansui Horizon 1 (White, Golden, 8 GB)","₹2,999",https://www.flipkart.com/sansui-horizon-1-white-golden-8-gb/p/itmeuyd9pqgcr2bu?pid=MOBEWSNSMUH3AZTB&srno=b_2_13&otracker=browse&lid=LSTMOBEWSNSMUH3AZTBTLFCZC&fm=organic&iid=db0839c3-b5ab-43a3-8fc9-3f8d8b2e44f1.MOBEWSNSMUH3AZTB.SEARCH,S455120
64,Ismart IS-100Pro,₹699,https://www.flipkart.com/ismart-is-100pro/p/itmerznchycyrgee?pid=MOBERZGF2GFZAKZD&srno=b_5_8&otracker=browse&lid=LSTMOBERZGF2GFZAKZDD6KS8Q&fm=organic&iid=4f84f2e3-1eec-4bf2-a768-345487364a8c.MOBERZGF2GFZAKZD.SEARCH,IS-100Pro
