Com-N350DV-110,"['bestbuy', 760L]"
1UH08UA#ABL,"['amazon', 1195L]"
GS73VR6RF-005CA,"['staples', 272L]"
GF485,"['walmart', 19L]"
Samsung Blu-ray Player built-in Wi-Fi,"['amazon', 853L]"
GIGABYTE T1000,"['staples', 126L]"
MX7-P670RE-102,"['bestbuy', 952L]"
PS483U-050002,"['amazon', 1174L]"
RYJV0,"['bestbuy', 1146L, 'newEgg', 1059L]"
T4M34UTABA,"['bestbuy', 1101L]"
TorF5SE-16L1-138,"['bestbuy', 828L]"
TorF5SE-16L1-139,"['bestbuy', 909L]"
GS43VR 7RE072CA,"['staples', 164L]"
TorF5SE-16L1-136,"['bestbuy', 49L]"
TorF5SE-16L1-137,"['bestbuy', 532L]"
JYDM0,"['newEgg', 67L]"
AW15R3-7002SLV-PUS,"['amazon', 940L]"
3000468,"['amazon', 933L]"
NX.GKKAA.004,"['amazon', 1105L]"
NX.GKKAA.001,"['newEgg', 1111L]"
NX.GKKAA.003,"['amazon', 1176L]"
NX.VDPAA.002,"['bestbuy', 944L]"
NX.VDPAA.003,"['bestbuy', 1276L]"
MSI-GT73VR-1070-16,"['newEgg', 734L]"
NX.VDPAA.001,"['bestbuy', 1095L]"
MSI-GT73VR-1070-10,"['newEgg', 1230L]"
MSI-GT73VR-1070-11,"['newEgg', 1756L]"
MSI-GT73VR-1070-12,"['newEgg', 1119L]"
MSI-GT73VR-1070-13,"['newEgg', 621L]"
NP900X3A-B06,"['newEgg', 1064L]"
GT72VR 6RD-050CA,"['amazon', 523L]"
W0S59UT#ABA,"['newEgg', 162L]"
M4-P640RE-93,"['bestbuy', 655L]"
LT777,"['flipkart', 111L]"
M4-P640RE-94,"['bestbuy', 453L]"
XE500C13-K02US,"['amazon', 619L]"
Tor-16L1-113,"['bestbuy', 676L]"
Tor-16L1-112,"['bestbuy', 894L]"
MSI-GT73VR-4K-1,"['newEgg', 1335L]"
RZ09-01963E31-R3U1,"['amazon', 991L, 'newEgg', 21L]"
419484,"['amazon', 631L]"
RZ09-01663E53-R3U1,"['amazon', 84L]"
X9E2-P870DM3-126,"['bestbuy', 146L]"
XE500C21-AZ2US,"['amazon', 371L]"
NX.GL4AA.001,"['bestbuy', 522L]"
NX.VAKAA.002,"['bestbuy', 1071L]"
GT73VR 6RE-066CA,"['amazon', 298L]"
PLT7100G,"['amazon', 879L]"
V0XDW,"['bestbuy', 1054L]"
NX.VCSAA.005,"['bestbuy', 1121L]"
NX.VCSAA.006,"['bestbuy', 1046L]"
72274.0,"['walmart', 199L]"
